Activity Name,Grade,Subject,Thumbnail,URL
ऐकिक नियम,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Unitary-Method.png,https://epaath.olenepal.org/start.html?id=matuni01&lang=np&grade=7
"षड्मुखाको सतह, क्षेत्रफल र आयतन",7,math,https://epaath.olenepal.org/images/main/math/Grade7/Surface-area-and-volume-of-cuboid.png,https://epaath.olenepal.org/start.html?id=matcub01&lang=np&grade=7
घाताङ्‍कको सरलीकरण,7,math,https://epaath.olenepal.org/images/thumb/math/exponents_7/thumbnail.png,https://epaath.olenepal.org/start.html?id=matexs01&lang=np&grade=7
बीजीय अभिव्यञ्यक,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Algebraic-Expression.png,https://epaath.olenepal.org/start.html?id=mataex01&lang=np&grade=7
फलन,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Function.png,https://epaath.olenepal.org/start.html?id=matfun01&lang=np&grade=7
समीकरण र असमानता,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Equations-and-inequalities.png,https://epaath.olenepal.org/start.html?id=matequ01&lang=np&grade=7
रेखाचित्र असमानता,7,math,https://epaath.olenepal.org/images/thumb/math/graphing_inequalities_thumbnail.png,https://epaath.olenepal.org/start.html?id=matgie01&lang=np&grade=7
कोणका जोडा,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Angles.png,https://epaath.olenepal.org/start.html?id=matang01&lang=np&grade=7
कोणको रचना,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Construction-of-Angles.png,https://epaath.olenepal.org/start.html?id=matanc01&lang=np&grade=7
चतुर्भुजको परिचय,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Quadrilaterals.png,https://epaath.olenepal.org/start.html?id=matqud01&lang=np&grade=7
समरूप र अनुरूप आकृतिहरू,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Simlarity-and-Congruency.png,https://epaath.olenepal.org/start.html?id=matsNc01&lang=np&grade=7
नियमित ठोस वस्तुका नमूना,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Regular-Solid-Objects.png,https://epaath.olenepal.org/start.html?id=matrso01&lang=np&grade=7
टेसिलेसनको धारणा,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Tessellations.png,https://epaath.olenepal.org/start.html?id=mattes01&lang=np&grade=7
"परावर्तन, परिक्रमण र विस्थापन",7,math,"https://epaath.olenepal.org/images/main/math/Grade7/Reflection,-Rotation-and-Translation.png",https://epaath.olenepal.org/start.html?id=mattfn01&lang=np&grade=7
दिशास्थिति र स्केल ड्रइङ,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Bearing-and-Scale-Drawing.png,https://epaath.olenepal.org/start.html?id=matbsd01&lang=np&grade=7
समूहगत र असमूहगत तथ्याङ्क र मध्यक,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Discrete-and-grouped-data-and-mean.png,https://epaath.olenepal.org/start.html?id=matdgm01&lang=np&grade=7
Plant Classification,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Classification-of-Plants.png,https://epaath.olenepal.org/start.html?id=scipnt01&lang=en&grade=7
Animal Classification,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Classification-of-Animals.png,https://epaath.olenepal.org/start.html?id=sciani01&lang=en&grade=7
Classification of invertebrates,7,science,https://epaath.olenepal.org/images/thumb/science/classification-of-invertebrates-Gr-501.png,https://epaath.olenepal.org/start.html?id=scicli01&lang=en&grade=7
Cell,7,science,https://epaath.olenepal.org/images/thumb/science/cell-gr-6_001.png,https://epaath.olenepal.org/start.html?id=scicls01&lang=en&grade=7
Animal Life Process,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Life-Process-Animals.png,https://epaath.olenepal.org/start.html?id=scilps01&lang=en&grade=7
Plant Life Process,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Life-process-of-plants.png,https://epaath.olenepal.org/start.html?id=scipps01&lang=en&grade=7
Distance and Displacement,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Distance-&-Displacement.png,https://epaath.olenepal.org/start.html?id=scidis01&lang=en&grade=7
The Adventure of Distance and Displacement,7,science,https://epaath.olenepal.org/images/main/science/Grade7/dis_outer_thumbnail.png,https://epaath.olenepal.org/start.html?id=scidad01&lang=en&grade=7
Force,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Force.png,https://epaath.olenepal.org/start.html?id=scifor01&lang=en&grade=7
Work Energy Power,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Work-Energy-and-Power.png,https://epaath.olenepal.org/start.html?id=sciwep01&lang=en&grade=7
Work And Power,7,science,https://epaath.olenepal.org/images/main/science/Grade8/Grade8-work_energy_and_power.png,https://epaath.olenepal.org/start.html?id=scipwe01&lang=en&grade=7
Heat,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Heat.png,https://epaath.olenepal.org/start.html?id=scihit01&lang=en&grade=7
Sound,7,science,https://epaath.olenepal.org/images/main/science/Grade7/sound.png,https://epaath.olenepal.org/start.html?id=scisnd01&lang=en&grade=7
Static Electricity,7,science,https://epaath.olenepal.org/images/thumb/science/static_electricity_gr_7_01.png,https://epaath.olenepal.org/start.html?id=sciels01&lang=en&grade=7
Density,7,science,https://epaath.olenepal.org/images/thumb/science/thumbnail_density_grade7.png,https://epaath.olenepal.org/start.html?id=sciden01&lang=en&grade=7
State of Matter,7,science,https://epaath.olenepal.org/images/main/science/Grade7/state_of_matter.png,https://epaath.olenepal.org/start.html?id=scisom01&lang=en&grade=7
Properties of matter,7,science,https://epaath.olenepal.org/images/main/science/Grade7/properties_of_matter.png,https://epaath.olenepal.org/start.html?id=scipom01&lang=en&grade=7
Rocks,7,science,https://epaath.olenepal.org/images/main/science/Grade7/rocks.png,https://epaath.olenepal.org/start.html?id=scisoe01&lang=en&grade=7
Weather and Climate,7,science,https://epaath.olenepal.org/images/main/science/Grade7/weather.png,https://epaath.olenepal.org/start.html?id=sciwcl01&lang=en&grade=7
Atmosphere,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Atmosphere.png,https://epaath.olenepal.org/start.html?id=sciatm01&lang=en&grade=7
वनस्पतिको वर्गीकरण,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Classification-of-Plants.png,https://epaath.olenepal.org/start.html?id=scipnt01&lang=np&grade=7
जनावरहरूको वर्गीकरण,7,science,https://epaath.olenepal.org/images/main/science/Grade7/Classification-of-Animals.png,https://epaath.olenepal.org/start.html?id=sciani01&lang=np&grade=7
